op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For sale,centrs,Valdemāra 37,3,78.0,4.0,6.0,Renov.,Masonry,All amenities,159732.0,56.958482,24.116858999999998
For rent,centrs,Stabu 94,3,97.0,6.0,6.0,Renov.,Masonry,All amenities,700.0,56.9499165,24.14129861229236
For sale,Pļavnieki,Dzeņu 8,1,41.0,3.0,5.0,M. ģim.,Panel,All amenities,30500.0,56.9396024,24.21101315
For sale,centrs,Blaumaņa 12,3,63.2,2.0,6.0,Renov.,Masonry,All amenities,164320.0,56.9548306,24.1221141
For sale,Zolitūde,Anniņmuižas 2 b,4,91.0,1.0,9.0,119.,Panel,All amenities,79500.0,56.957595700000006,24.0238997
For sale,Purvciems,Ūnijas 32,1,13.0,1.0,2.0,P. kara,Wood,All amenities,12500.0,56.9668361,24.1732945
For rent,centrs,Marijas 20,4,114.0,4.0,5.0,P. kara,Masonry,All amenities,250.0,56.950781799999994,24.126179500000003
For rent,Ziepniekkalns,Ozolciema 24,1,43.0,3.0,10.0,119.,Brick-Panel,All amenities,270.0,56.89930985,24.08899606834137
For rent,Mežciems,Hipokrāta 13,1,45.0,3.0,16.0,104.,Brick-Panel,All amenities,300.0,56.96683855000001,24.23704669319521
For rent,Pļavnieki,Dzeņu 8,1,40.0,4.0,5.0,M. ģim.,Panel,All amenities,260.0,56.9396024,24.21101315
For sale,Ķengarags,Lokomotīves 46,2,39.0,2.0,5.0,LT proj.,Brick-Panel,All amenities,30000.0,56.90929355,24.20023458271737
For rent,Ziepniekkalns,Valdeķu 62,1,38.0,3.0,9.0,Specpr.,Brick,All amenities,350.0,56.90102635,24.093994112790323
